N°;NOMBRE;LATITUD;LONGITUD;COMMODITY 1;COMMODITY 2;COMMODITY 3;PROVINCIA;DEPARTAMENTO;ESTADO;
6;ANCASTI;-28,77164;-65,54279;Litio;Tantalio;Niobio;CATAMARCA;LA PAZ;Exploración Avanzada;
8;ANTOFALLA NORTE;-25,62753;-67,83714;Litio;Potasio;-;CATAMARCA;ANTOFAGASTA DE LAS SIERRAS;Exploración Avanzada;
9;ARIZARO;-24,78233;-67,74604;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
11;CANDELAS;-25,47594;-67,14368;Litio;Potasio;-;CATAMARCA;ANTOFAGASTA DE LA SIERRA;Evaluación económica preliminar;
14;CAUCHARI;-23,72524;-66,81108;Litio;Potasio;-;JUJUY;SUSQUES;Prefactibilidad;
15;CAUCHARI-OLAROZ;-23,41623;-66,71316;Litio;-;-;JUJUY;SUSQUES;Construcción;
16;CENTENARIO-RATONES;-25,09077;-66,81628;Litio;-;-;SALTA;LOS ANDES;Construcción;
39;FENIX;-25,3927;-67,04878;Litio;-;-;CATAMARCA;ANTOFAGASTA DE LA SIERRA;Producción;
41;GALLEGO;-25,03;-67,01;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
43;HOMBRE MUERTO NORTE;-25,22556;-66,98187;Litio;Potasio;-;SALTA;Los Andes;Evaluación económica preliminar;
44;HOMBRE MUERTO OESTE;-25,41;-67,24501;Litio;Potasio;-;CATAMARCA;ANTOFAGASTA DE LA SIERRA;Evaluación económica preliminar;
46;INCAHUASI;-26,35584;-67,64756;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
50;KACHI;-26,49883;-67,42899;Litio;-;-;CATAMARCA;ANTOFAGASTA DE LA SIERRA;Prefactibilidad;
51;KARACHI SALAR ESCONDIDO;-26,37811;-67,44595;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
58;LAGUNA VERDE (La Borita);-25,35885;-67,4804;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
67;LOS SAPITOS;-28,8519;-69,14489;Litio;-;-;SAN JUAN;IGLESIAS;Exploración Avanzada;
70;MARIANA;-24,81373;-68,30736;Litio;Potasio;Boratos;SALTA;LOS ANDES;Construcción;
73;MINA SISIFO - MINA PATILLA;-24,23533;-67,51665;Litio;Potasio;-;SALTA;LOS ANDES;Exploración Avanzada;
75;PASTOS GRANDES;-24,57086;-66,70459;Litio;Potasio;-;SALTA;LOS ANDES;Factibilidad;
79;POZUELOS (PPG);-24,69897;-66,81781;Litio;-;-;SALTA;LOS ANDES;Evaluación económica preliminar;
83;PULAR (Salta Lithium);-24,40107;-67,08351;Litio;Potasio;-;SALTA;LOS ANDES;Exploración Avanzada;
85;RINCÓN;-24,20374;-66,99009;Litio;-;-;SALTA;LOS ANDES;Evaluación económica preliminar;
89;RÍO GRANDE;-25,00605;-68,14443;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
91;SAL DE LA PUNA;-25,24472;-66,74833;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
92;SAL DE LOS ÁNGELES;-25,24472;-66,74833;Litio;Potasio;-;SALTA;LOS ANDES;Exploración Avanzada;
93;SAL DE ORO;-25,22426;-66,96852;Litio;Potasio;-;CATAMARCA - SALTA;LOS ANDES;Construcción;
94;SAL DE VIDA;-25,34532;-66,94715;Litio;Potasio;-;CATAMARCA;ANTOFAGASTA DE LA SIERRA;Construcción;
95;SALAR DE ANTOFALLA I al XIII y BOLLAND VI;-25,86667;-67,85;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
96;SALAR DE ARIZARO (1);-24,88645;-67,77402;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
97;SALAR DE ARIZARO (2);-24,77014;-67,70972;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
98;SALAR DE CAUCHARI;-23,75738;-66,79067;Litio;Potasio;-;JUJUY;SUSQUES;Prefactibilidad;
99;SALAR DE OLAROZ (Sales de Jujuy);-23,45;-66,7;Litio;-;-;JUJUY;SUSQUES;Producción;
100;SALAR DEL RINCÓN;-24,0575;-67,12;Litio;Potasio;-;SALTA;LOS ANDES;Factibilidad;
101;SALAR TOLILLAR;-25,03672;-67,12411;Litio;-;-;SALTA;LOS ANDES;Exploración Avanzada;
102;SALINAS GRANDES;-23,72856;-65,94639;Litio;Potasio;-;JUJUY;LA POMA;Exploración Avanzada;
108;SINCERA;-26,05716;-67,93492;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
113;TRES QUEBRADAS;-27,36413;-68,66513;Litio;Potasio;-;CATAMARCA;TINOGASTA;Construcción;
117;VIRGEN DEL VALLE LITIO;-25,4394;-66,9778;Litio;-;-;CATAMARCA;ANTOFAGASTA;Exploración Avanzada;
