año_mes;provincia_zona;genero;rubro;Cantidad;remuneracion_Med;remuneracion_prom
39083;Catamarca;Femenino;Litio-Produccion;6;2516,99;4162,77
39083;Catamarca;Masculino;Litio-Produccion;128;2776,38;3269,75
39083;Jujuy;Femenino;Litio-exploración y financiación;2;3438,66;3438,66
39083;Jujuy;Masculino;Litio-exploración y financiación;4;1473,92;1891,21
39083;Salta;Femenino;Litio-exploración y financiación;4;1029,68;1229,91
39083;Salta;Femenino;Litio-Produccion;11;2206,95;2712,3
39083;Salta;Masculino;Litio-exploración y financiación;2;914,53;914,53
39083;Salta;Masculino;Litio-Produccion;36;3568,31;5507,43
39114;Catamarca;Femenino;Litio-Produccion;6;6211,21;11546,33
39114;Catamarca;Masculino;Litio-Produccion;129;7271,01;7744,05
39114;Jujuy;Femenino;Litio-exploración y financiación;3;2874;2584,37
39114;Jujuy;Masculino;Litio-exploración y financiación;4;1622,47;2075,82
39114;Salta;Femenino;Litio-exploración y financiación;4;1048,67;1116,09
39114;Salta;Femenino;Litio-Produccion;10;5082,02;6109,91
39114;Salta;Masculino;Litio-exploración y financiación;2;1228,26;1228,26
39114;Salta;Masculino;Litio-Produccion;37;9644,02;13296,21
39142;Catamarca;Femenino;Litio-Produccion;6;4379,46;5854,18
39142;Catamarca;Masculino;Litio-Produccion;128;3447,53;4677,05
39142;Jujuy;Femenino;Litio-exploración y financiación;3;2874;2985,44
39142;Jujuy;Masculino;Litio-exploración y financiación;4;2722,1;2644,13
39142;Salta;Femenino;Litio-exploración y financiación;4;1029,68;1106,59
39142;Salta;Femenino;Litio-Produccion;11;2036,53;2606,63
39142;Salta;Masculino;Litio-exploración y financiación;2;1228,26;1228,26
39142;Salta;Masculino;Litio-Produccion;37;4276,05;11539,88
39173;Catamarca;Femenino;Litio-Produccion;6;4556,06;8490,9
39173;Catamarca;Masculino;Litio-Produccion;125;4822,26;5690,9
39173;Jujuy;Femenino;Litio-exploración y financiación;3;2874;2997,05
39173;Jujuy;Masculino;Litio-exploración y financiación;4;2762,03;2699,34
39173;Salta;Femenino;Litio-exploración y financiación;4;1654,86;1649,18
39173;Salta;Femenino;Litio-Produccion;11;2396,85;3753,66
39173;Salta;Masculino;Litio-exploración y financiación;2;1228,26;1228,26
39173;Salta;Masculino;Litio-Produccion;38;5630,42;10434,32
39203;Catamarca;Femenino;Litio-Produccion;6;3177,62;5720,14
39203;Catamarca;Masculino;Litio-Produccion;124;3484;3966,24
39203;Jujuy;Femenino;Litio-exploración y financiación;3;3273,14;3118,49
39203;Jujuy;Masculino;Litio-exploración y financiación;4;2722,1;2644,13
39203;Salta;Femenino;Litio-exploración y financiación;5;2367,01;2051,99
39203;Salta;Femenino;Litio-Produccion;11;1984,75;2789,18
39203;Salta;Masculino;Litio-exploración y financiación;2;1228,26;1228,26
39203;Salta;Masculino;Litio-Produccion;37;4276,05;7045,87
39234;Catamarca;Femenino;Litio-Produccion;6;4686,74;8756,87
39234;Catamarca;Masculino;Litio-Produccion;131;5375,03;6968,18
39234;Jujuy;Femenino;Litio-exploración y financiación;3;4311;4404,35
39234;Jujuy;Masculino;Litio-exploración y financiación;4;3882,59;3957,66
39234;Salta;Femenino;Litio-exploración y financiación;5;3329,05;2885,39
39234;Salta;Femenino;Litio-Produccion;14;3315,91;4716,04
39234;Salta;Masculino;Litio-exploración y financiación;2;2041,69;2041,69
39234;Salta;Masculino;Litio-Produccion;37;6713,13;10831,9
39264;Catamarca;Femenino;Litio-Produccion;6;4770,12;8099,48
39264;Catamarca;Masculino;Litio-Produccion;133;4557,22;5410,58
39264;Jujuy;Femenino;Litio-exploración y financiación;3;2874;2985,44
39264;Jujuy;Masculino;Litio-exploración y financiación;4;2722,1;2682,96
39264;Salta;Femenino;Litio-exploración y financiación;5;2367,01;2106,68
39264;Salta;Femenino;Litio-Produccion;14;3348,82;4316,28
39264;Salta;Masculino;Litio-exploración y financiación;4;1391,4;1610,33
39264;Salta;Masculino;Litio-Produccion;35;5502,92;11356,21
39295;Catamarca;Femenino;Litio-Produccion;7;3032,6;5459,72
39295;Catamarca;Masculino;Litio-Produccion;135;3550,84;4118,42
39295;Jujuy;Femenino;Litio-exploración y financiación;3;2874;3369,47
39295;Jujuy;Masculino;Litio-exploración y financiación;4;2722,1;2725,64
39295;Salta;Femenino;Litio-exploración y financiación;5;2367,01;2079,33
39295;Salta;Femenino;Litio-Produccion;13;2492,22;3128,99
39295;Salta;Masculino;Litio-exploración y financiación;4;1598,61;1906,89
39295;Salta;Masculino;Litio-Produccion;36;4303,65;6540,15
39326;Catamarca;Femenino;Litio-Produccion;7;3553,88;5962,08
39326;Catamarca;Masculino;Litio-Produccion;135;3608,93;4360,37
39326;Jujuy;Femenino;Litio-exploración y financiación;3;2874;2985,44
39326;Jujuy;Masculino;Litio-exploración y financiación;4;2742,17;2750,64
39326;Salta;Femenino;Litio-exploración y financiación;5;2367,01;2136,95
39326;Salta;Femenino;Litio-Produccion;12;3058,64;4055,2
39326;Salta;Masculino;Litio-exploración y financiación;5;1567;1838,91
39326;Salta;Masculino;Litio-Produccion;36;4246,52;7022,11
39356;Catamarca;Femenino;Litio-Produccion;7;8372,63;13334,75
39356;Catamarca;Masculino;Litio-Produccion;135;7685,1;8419
39356;Jujuy;Femenino;Litio-exploración y financiación;3;3909;3562,33
39356;Jujuy;Masculino;Litio-exploración y financiación;4;2995,5;2955,08
39356;Salta;Femenino;Litio-exploración y financiación;7;1391,66;2062,94
39356;Salta;Femenino;Litio-Produccion;11;7435,45;9507,64
39356;Salta;Masculino;Litio-exploración y financiación;6;1849;2008,36
39356;Salta;Masculino;Litio-Produccion;39;10118,5;14278,36
39387;Catamarca;Femenino;Litio-Produccion;6;4420,97;7104,07
39387;Catamarca;Masculino;Litio-Produccion;136;4390,65;6338,73
39387;Jujuy;Femenino;Litio-exploración y financiación;3;3909;4165,48
39387;Jujuy;Masculino;Litio-exploración y financiación;4;2995,5;2955,08
39387;Salta;Femenino;Litio-exploración y financiación;7;2841;2684,5
39387;Salta;Femenino;Litio-Produccion;11;3495,49;3988,45
39387;Salta;Masculino;Litio-exploración y financiación;9;2131;2387,54
39387;Salta;Masculino;Litio-Produccion;41;4943,1;7195,39
39417;Catamarca;Femenino;Litio-Produccion;6;9413,72;13649,19
39417;Catamarca;Masculino;Litio-Produccion;136;9709,51;11308,32
39417;Jujuy;Femenino;Litio-exploración y financiación;3;5863,5;5403
39417;Jujuy;Masculino;Litio-exploración y financiación;4;4493,25;4432,63
39417;Salta;Femenino;Litio-exploración y financiación;8;3393,81;3603,39
39417;Salta;Femenino;Litio-Produccion;12;6065,14;8539,65
39417;Salta;Masculino;Litio-exploración y financiación;16;1953,17;2637,21
39417;Salta;Masculino;Litio-Produccion;41;9040;15326,29
39448;Catamarca;Femenino;Litio-Produccion;6;4934,5;6295,64
39448;Catamarca;Masculino;Litio-Produccion;136;4439,99;5212,93
39448;Jujuy;Femenino;Litio-exploración y financiación;3;4561,33;3908,58
39448;Jujuy;Masculino;Litio-exploración y financiación;4;3092,5;3120,73
39448;Salta;Femenino;Litio-exploración y financiación;8;2771,7;3671,95
39448;Salta;Femenino;Litio-Produccion;12;3799,13;4981,28
39448;Salta;Masculino;Litio-exploración y financiación;21;2370,7;2560,78
39448;Salta;Masculino;Litio-Produccion;40;5639,92;6116,3
39479;Catamarca;Femenino;Litio-Produccion;7;7890,23;7280,07
39479;Catamarca;Masculino;Litio-Produccion;136;9833,2;8500,8
39479;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3975,66
39479;Jujuy;Masculino;Litio-exploración y financiación;5;2088;2619,93
39479;Salta;Femenino;Litio-exploración y financiación;5;2787,01;2986,15
39479;Salta;Femenino;Litio-Produccion;12;6934,88;7441,88
39479;Salta;Masculino;Litio-exploración y financiación;21;2119,63;2532,12
39479;Salta;Masculino;Litio-Produccion;40;10000;8231,23
39508;Catamarca;Femenino;Litio-Produccion;7;5734,28;6009,7
39508;Catamarca;Masculino;Litio-Produccion;135;6534,36;6570,52
39508;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3764,9
39508;Jujuy;Masculino;Litio-exploración y financiación;5;2088;2770,77
39508;Salta;Femenino;Litio-exploración y financiación;6;2577,9;2633,93
39508;Salta;Femenino;Litio-Produccion;12;4657,35;5502,68
39508;Salta;Masculino;Litio-exploración y financiación;31;2286,35;2268,28
39508;Salta;Masculino;Litio-Produccion;40;6159,3;6392,23
39539;Catamarca;Femenino;Litio-Produccion;7;5874,09;6655,52
39539;Catamarca;Masculino;Litio-Produccion;135;5450,95;5960,32
39539;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3764,9
39539;Jujuy;Masculino;Litio-exploración y financiación;5;2259,09;2756,7
39539;Salta;Femenino;Litio-exploración y financiación;5;2236,04;2694,72
39539;Salta;Femenino;Litio-Produccion;14;3476,28;4555,26
39539;Salta;Masculino;Litio-exploración y financiación;31;2263,61;2450,68
39539;Salta;Masculino;Litio-Produccion;40;6250,93;6380,49
39569;Catamarca;Femenino;Litio-Produccion;7;5874,09;6375,22
39569;Catamarca;Masculino;Litio-Produccion;135;6051,57;6354,98
39569;Jujuy;Femenino;Litio-exploración y financiación;3;4097;3764,91
39569;Jujuy;Masculino;Litio-exploración y financiación;5;2394,64;2776,51
39569;Mendoza;Femenino;Litio-Produccion;1;4809,67;4809,67
39569;Mendoza;Masculino;Litio-Produccion;2;5234,84;5234,84
39569;Salta;Femenino;Litio-exploración y financiación;5;2236,04;4050,39
39569;Salta;Femenino;Litio-Produccion;14;3578,95;4647,86
39569;Salta;Masculino;Litio-exploración y financiación;31;2304,27;2927
39569;Salta;Masculino;Litio-Produccion;38;6181,56;6447,75
39600;Catamarca;Femenino;Litio-Produccion;7;7587,82;8045,15
39600;Catamarca;Masculino;Litio-Produccion;135;8681,15;8313,57
39600;Jujuy;Femenino;Litio-exploración y financiación;3;6377,67;6162,22
