Año;Carbonato (USD/tn LCE);Variación Interanual (eje derecho)
2002;1590;
2003;1550;-0,025157233
2004;1720;0,109677419
2005;1460;-0,151162791
2006;2320;0,589041096
2007;3530;0,521551724
2008;4440;0,257790368
2009;4530;0,02027027
2010;4350;-0,039735099
2011;3870;-0,110344828
2012;4220;0,090439276
2013;4390;0,04028436
2014;5050;0,150341686
2015;6500;0,287128713
2016;7475;0,15
2017;9500;0,27090301
2018;12000;0,263157895
2019;11428;-0,047666667
2020;6722,222222;-0,411776144
2021;35000;4,20661157
2022;69500;0,985714286
