Proyecto;Pais;Produccion_tns_LCE;Latitud;Longitud;Tipo;Inicio
Greenbushes;Australia;140000;-3386114;11614838;Espodumeno ;1983
Salar de Atacama (SQM);Chile;108400;-23.55;-68385;Salmuera;1996
Mount Marion;Australia;54734;-310799;12143161;Espodumeno ;2016
Pilgangoora;Australia;47268;-2104991;11890798;Espodumeno ;2018
Salar de Atacama (Albemarle);Chile;40000;-2364182;-6832159;Salmuera;2013
Mt Cattlin;Australia;32430;-3356306;12003444;Espodumeno ;2016
Chaerhan Lake;China;22572;3678454;9524038;Salmuera;
Salar del Hombre Muerto;Argentina;18785;-253927;-6704878;Salmuera;1997
Salar de Olaroz;Argentina;12907;-23.45;-66.7;Salmuera;2014
Mibra;Brasil;12019;-2108944;-4459083;Espodumeno ;1960
East Taijinair;China;10250;3739523;9406972;Salmuera;2007
Silver Peak;Estados Unidos;10000;3777544;-11757931;Salmuera;1967
Yichun;China;9787;2764929;11451741;Salmuera;
Bikita;Zimbabue;8309;-1995879;3143572;Espodumeno ;
Qarhan Lake;China;7553;3672108;9563371;Salmuera;2019
Qinghai Yiliping;China;7000;3854061;9148386;Salmuera;
Jiajika;China;6098;3033333;10131667;Espodumeno ;2019
Zhabuye;China;5410;3134934;8396432;Salmuera;
West Taijinai Lake;China;5000;3773374;9335156;Salmuera;2007
Altura;Australia;3000;-2101296;11891086;Espodumeno ;2018
West Taijinair;China;2976;3768833;9352944;Salmuera;
Cachoeira;Brasil;2210;-1678501;-4190859;Espodumeno ;2016
Alvarroes;Portugal;1855;4043062;-73401;Espodumeno ;
Jintaier Lake;China;1000;3738915;9727879;Salmuera;2017
